community_id,method,step_index,step_order,target_window_label,n_users,F,L,Q,baseline_window,baseline_F,baseline_L,baseline_Q,aggregate
7,incremental_persona,0,0,W1,100,0.3828135699,0.2632172007,0.3349750222,W1,0.3828135699,0.2632172007,0.3349750222,mean
7,incremental_persona,1,1,W2,100,0.2989469424,0.2795383338,0.291183499,W1,0.3828135699,0.2632172007,0.3349750222,mean
7,incremental_persona,2,2,W3,100,0.2424422923,0.2264686636,0.2360528409,W1,0.3828135699,0.2632172007,0.3349750222,mean
7,incremental_persona,3,3,W4,100,0.3137769219,0.2538528825,0.2898073062,W1,0.3828135699,0.2632172007,0.3349750222,mean
7,incremental_persona,4,4,W5,100,0.3385214576,0.2695008825,0.3109132275,W1,0.3828135699,0.2632172007,0.3349750222,mean
7,clasp_online,0,0,W1,100,0.4594298781,0.3412495489,0.3921577464,W1,0.4594298781,0.3412495489,0.4121577464,mean
7,clasp_online,1,1,W2,100,0.4994138664,0.3419307657,0.4164206261,W1,0.4594298781,0.3412495489,0.4121577464,mean
7,clasp_online,2,2,W3,100,0.420765962,0.2931129538,0.3697047587,W1,0.4594298781,0.3412495489,0.4121577464,mean
7,clasp_online,3,3,W4,100,0.3887452525,0.288765501,0.3487533519,W1,0.4594298781,0.3412495489,0.4121577464,mean
7,clasp_online,4,4,W5,100,0.4525330679,0.3260533487,0.4019411802,W1,0.4594298781,0.3412495489,0.4121577464,mean
